category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;log_reason
LC;3510;Cygnus cygnus;sangsvane;Fugler;Bård Kyrkjedelen;11.07.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4208;Emberiza schoeniclus;sivspurv;Fugler;Anette Jensen;22.06.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;6;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: CarryingFoodForYoung.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4437;Acrocephalus schoenobaenus;sivsanger;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: Display/Song. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3926;Gavia stellata;smålom;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Fuglehullet, Andøya flystasjon, Andøy, No;200.0;Andøy;Nordland;2;69,280177;16,158428;POINT (545738 7686036);species;;Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Martin Eggen;12.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Atle Ivar Olsen;24.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3487;Aythya fuligula;toppand;Fugler;Atle Ivar Olsen;24.07.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;Audun Skrindo;14.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,301025;16,109856;POINT (543778 7688325);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4332;Motacilla alba;linerle;Fugler;Audun Skrindo;15.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,293836;16,12581;POINT (544422 7687535);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3510;Cygnus cygnus;sangsvane;Fugler;Bjørn Olav Tveit;14.09.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
